@attribute Weighted_avg_F_measure numeric
@attribute Weighted_avg_area_under_ROC numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Summary string

@data

transition,1,10,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.unsupervised.instance.RemovePercentage -P 90.0\" -W weka.classifiers.bayes.NaiveBayes --',-4523450618538717400,20130408.1726,3687,409,372,37,0,90.953545,9.046455,0,-0.025202,0.102553,0.271726,351.911482,226.009187,45.139488,1424.903424,-1379.763936,0.110365,3.483871,-3.373506,-347.406863,-0.849406,-310706.032078,0,0,0.076923,31,0.923077,372,1,6,0,0,0,0.39909,0.909535,0.986459,0.013541,0.090465,0.96969,0.909535,0.93865,0.412945,0.002,0.007,0,0.01,9806,729552,83786,?
transition,2,1,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.unsupervised.instance.RemovePercentage -P 90.0\" -W weka.classifiers.bayes.NaiveBayes --',-4523450618538717400,20130408.1726,3686,410,379,31,0,92.439024,7.560976,0,-0.024174,0.07531,0.234808,258.699831,195.537509,45.161205,1234.807669,-1189.646465,0.110149,3.011726,-2.901577,-224.511257,-0.547588,-200749.508255,0,0,0.061881,25,0.938119,379,1,6,0,0,0,0.505363,0.92439,0.986271,0.013729,0.07561,0.97001,0.92439,0.946651,0.551908,0.002,0.004,0,0.01,9806,729355,83983,?
transition,2,2,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.unsupervised.instance.RemovePercentage -P 90.0\" -W weka.classifiers.bayes.NaiveBayes --',-4523450618538717400,20130408.1726,3686,410,378,32,0,92.195122,7.804878,0,-0.02436,0.095928,0.24478,329.52455,203.841297,45.161205,433.079213,-387.918008,0.110149,1.056291,-0.946141,-396.60652,-0.967333,-354630.610388,0,0,0.064356,26,0.935644,378,1,6,0,0,0,0.349835,0.921951,0.986308,0.013692,0.078049,0.96997,0.921951,0.945351,0.351461,0.002,0.004,0,0.01,9806,729355,83983,?
transition,2,3,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.unsupervised.instance.RemovePercentage -P 90.0\" -W weka.classifiers.bayes.NaiveBayes --',-4523450618538717400,20130408.1726,3686,410,397,13,0,96.829268,3.170732,0,-0.016012,0.031664,0.177558,108.771349,147.862209,45.161205,4693.272521,-4648.111316,0.110149,11.447006,-11.336857,-34.267135,-0.083578,-30640.381672,0,0,0.017327,7,0.982673,397,1,6,0,0,0,0.67203,0.968293,0.985619,0.014381,0.031707,0.970695,0.968293,0.969493,0.490322,0.002,0.005,0.01,0,9806,729355,83983,?
transition,2,4,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.unsupervised.instance.RemovePercentage -P 90.0\" -W weka.classifiers.bayes.NaiveBayes --',-4523450618538717400,20130408.1726,3686,410,363,47,0,88.536585,11.463415,0,-0.026201,0.1527,0.291171,524.54571,242.473282,45.161205,257.078695,-211.91749,0.110149,0.627021,-0.516872,-694.366504,-1.693577,-620876.371586,0,0,0.101485,41,0.898515,363,1,6,0,0,0,0.287541,0.885366,0.986851,0.013149,0.114634,0.969344,0.885366,0.925454,0.285102,0.001,0.004,0.01,0,9806,729355,83983,?
transition,2,5,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.unsupervised.instance.RemovePercentage -P 90.0\" -W weka.classifiers.bayes.NaiveBayes --',-4523450618538717400,20130408.1726,3686,410,404,6,0,98.536585,1.463415,0,0,0.014634,0.120972,50.270344,100.739565,45.161205,6444,-6398.838795,0.110149,15.717073,-15.606924,8.627561,0.021043,7714.440427,0,0,0,0,1,404,1,6,0,0,0,0.5,0.985366,0.985366,0.014634,0.014634,0.970946,0.985366,0.978103,0.5,0.002,0.004,0,0,9806,729355,83983,?
transition,2,6,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.unsupervised.instance.RemovePercentage -P 90.0\" -W weka.classifiers.bayes.NaiveBayes --',-4523450618538717400,20130408.1726,3686,410,381,29,0,92.926829,7.073171,0,-0.023764,0.076192,0.228825,261.72934,190.554653,45.161205,520.675081,-475.513876,0.110149,1.269939,-1.15979,-274.036512,-0.668382,-245033.126035,0,0,0.056931,23,0.943069,381,1,6,0,0,0,0.615512,0.929268,0.986199,0.013801,0.070732,0.970089,0.929268,0.94924,0.622829,0.002,0.004,0.01,0,9806,729355,83983,?
transition,2,7,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.unsupervised.instance.RemovePercentage -P 90.0\" -W weka.classifiers.bayes.NaiveBayes --',-4523450618538717400,20130408.1726,3687,409,387,22,0,94.621027,5.378973,0,-0.021803,0.060662,0.22196,208.161905,184.616227,45.139488,513.44553,-468.306042,0.110365,1.255368,-1.145003,-159.549905,-0.390098,-142694.699366,0,0,0.039702,16,0.960298,387,1,6,0,0,0,0.551696,0.94621,0.985913,0.014087,0.05379,0.970287,0.94621,0.958097,0.552918,0.002,0.004,0,0,9806,729552,83786,?
transition,2,8,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.unsupervised.instance.RemovePercentage -P 90.0\" -W weka.classifiers.bayes.NaiveBayes --',-4523450618538717400,20130408.1726,3687,409,357,52,0,87.286064,12.713936,0,-0.026646,0.146228,0.311447,501.783329,259.04669,45.139488,556.682788,-511.5433,0.110365,1.361083,-1.250717,-569.078216,-1.391389,-508959.532287,0,0,0.114144,46,0.885856,357,1,6,0,0,0,0.395782,0.872861,0.987005,0.012995,0.127139,0.969044,0.872861,0.918441,0.402098,0.002,0.004,0,0,9806,729552,83786,?
transition,2,9,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.unsupervised.instance.RemovePercentage -P 90.0\" -W weka.classifiers.bayes.NaiveBayes --',-4523450618538717400,20130408.1726,3687,409,372,37,0,90.953545,9.046455,0,0.02713,0.114385,0.279961,392.514606,232.85821,45.139488,456.628065,-411.488577,0.110365,1.11645,-1.006085,-447.333488,-1.093725,-400076.187182,0.166667,1,0.079404,32,0.920596,371,0.833333,5,0.030303,0.166667,0.051282,0.565343,0.909535,0.822273,0.177727,0.090465,0.972672,0.909535,0.939282,0.56514,0.002,0.004,0,0,9806,729552,83786,?
transition,2,10,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.unsupervised.instance.RemovePercentage -P 90.0\" -W weka.classifiers.bayes.NaiveBayes --',-4523450618538717400,20130408.1726,3687,409,337,72,0,82.396088,17.603912,0,0.026319,0.186283,0.348317,639.230603,289.713593,45.139488,360.47987,-315.340382,0.110365,0.881369,-0.771003,-711.5826,-1.739811,-636409.437396,0.333333,2,0.168734,68,0.831266,335,0.666667,4,0.028571,0.333333,0.052632,0.425972,0.823961,0.659362,0.340638,0.176039,0.974123,0.823961,0.890491,0.404374,0.001,0.01,0,0.01,9806,729552,83786,?
transition,3,1,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.unsupervised.instance.RemovePercentage -P 90.0\" -W weka.classifiers.bayes.NaiveBayes --',-4523450618538717400,20130408.1726,3686,410,388,22,0,94.634146,5.365854,0,-0.021749,0.064291,0.226875,220.849069,188.930942,45.161205,1009.685566,-964.524361,0.110149,2.462648,-2.352498,-190.539884,-0.464731,-170373.586919,0,0,0.039604,16,0.960396,388,1,6,0,0,0,0.318482,0.946341,0.985945,0.014055,0.053659,0.97036,0.946341,0.9582,0.327018,0.002,0.005,0,0.01,9806,729355,83983,?
transition,3,2,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.unsupervised.instance.RemovePercentage -P 90.0\" -W weka.classifiers.bayes.NaiveBayes --',-4523450618538717400,20130408.1726,3686,410,385,25,0,93.902439,6.097561,0,-0.02275,0.057486,0.222412,197.473545,185.214488,45.161205,868.412791,-823.251587,0.110149,2.11808,-2.007931,-134.137533,-0.327165,-119940.728987,0,0,0.04703,19,0.95297,385,1,6,0,0,0,0.460809,0.939024,0.986054,0.013946,0.060976,0.970245,0.939024,0.95438,0.446174,0.002,0.004,0.01,0,9806,729355,83983,?
transition,3,3,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.unsupervised.instance.RemovePercentage -P 90.0\" -W weka.classifiers.bayes.NaiveBayes --',-4523450618538717400,20130408.1726,3686,410,369,41,0,90,10,0,0.021878,0.109646,0.287515,376.649977,239.42879,45.161205,282.606861,-237.445656,0.110149,0.689285,-0.579136,-352.101377,-0.858784,-314835.788029,0.166667,1,0.089109,36,0.910891,368,0.833333,5,0.027027,0.166667,0.046512,0.474422,0.9,0.822442,0.177558,0.1,0.972553,0.9,0.934052,0.474422,0.002,0.004,0,0.01,9806,729355,83983,?
transition,3,4,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.unsupervised.instance.RemovePercentage -P 90.0\" -W weka.classifiers.bayes.NaiveBayes --',-4523450618538717400,20130408.1726,3686,410,345,65,0,84.146341,15.853659,0,-0.027292,0.1734,0.356624,595.652936,296.98011,45.161205,409.0811,-363.919896,0.110149,0.997759,-0.88761,-600.760148,-1.465269,-537177.093855,0,0,0.14604,59,0.85396,345,1,6,0,0,0,0.447607,0.841463,0.987503,0.012497,0.158537,0.968522,0.841463,0.900533,0.447607,0.002,0.004,0,0,9806,729355,83983,?
transition,3,5,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.unsupervised.instance.RemovePercentage -P 90.0\" -W weka.classifiers.bayes.NaiveBayes --',-4523450618538717400,20130408.1726,3686,410,403,7,0,98.292683,1.707317,0,-0.004199,0.017096,0.130665,58.72791,108.811861,45.161205,4401.271109,-4356.109904,0.110149,10.734808,-10.624658,2.524923,0.006158,2257.690675,0,0,0.002475,1,0.997525,403,1,6,0,0,0,0.475041,0.982927,0.985402,0.014598,0.017073,0.970911,0.982927,0.976882,0.495976,0.001,0.005,0.01,0,9806,729355,83983,?
transition,3,6,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.unsupervised.instance.RemovePercentage -P 90.0\" -W weka.classifiers.bayes.NaiveBayes --',-4523450618538717400,20130408.1726,3686,410,404,6,0,98.536585,1.463415,0,0,0.014634,0.120972,50.270344,100.739565,45.161205,6444,-6398.838795,0.110149,15.717073,-15.606924,8.627561,0.021043,7714.440427,0,0,0,0,1,404,1,6,0,0,0,0.5,0.985366,0.985366,0.014634,0.014634,0.970946,0.985366,0.978103,0.5,0.002,0.004,0,0,9806,729355,83983,?
transition,3,7,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.unsupervised.instance.RemovePercentage -P 90.0\" -W weka.classifiers.bayes.NaiveBayes --',-4523450618538717400,20130408.1726,3687,409,375,34,0,91.687042,8.312958,0,0.031885,0.121253,0.238042,416.08005,197.99188,45.139488,389.333528,-344.19404,0.110365,0.951916,-0.84155,-605.091831,-1.479442,-541168.589175,0.166667,1,0.07196,29,0.92804,374,0.833333,5,0.033333,0.166667,0.055556,0.510753,0.91687,0.822164,0.177836,0.08313,0.97282,0.91687,0.943305,0.514013,0.002,0.004,0,0,9806,729552,83786,?
transition,3,8,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.unsupervised.instance.RemovePercentage -P 90.0\" -W weka.classifiers.bayes.NaiveBayes --',-4523450618538717400,20130408.1726,3687,409,380,29,0,92.909535,7.090465,0,-0.023824,0.066211,0.24366,227.202402,202.664774,45.139488,1886.005447,-1840.865959,0.110365,4.61126,-4.500895,-143.339423,-0.350463,-128196.729027,0,0,0.057072,23,0.942928,380,1,6,0,0,0,0.424731,0.929095,0.986167,0.013833,0.070905,0.970014,0.929095,0.949114,0.502971,0.002,0.005,0,0,9806,729552,83786,?
