@attribute Weighted_avg_F_measure numeric
@attribute Weighted_avg_area_under_ROC numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Summary string

@data

transition,1,10,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20130408.1716,3687,409,403,6,0,98.533007,1.466993,0,0,0.047451,0.131875,162.827915,109.687413,45.139488,286.707104,-241.567616,0.110365,0.700995,-0.59063,-330.677317,-0.808502,-295743.832316,0,0,0,0,1,403,1,6,0,0,0,0.362696,0.98533,0.98533,0.01467,0.01467,0.970875,0.98533,0.978049,0.361474,0.048,0.005,0.05,0,6708,729552,83786,?
transition,2,1,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20130408.1716,3686,410,402,8,0,98.04878,1.95122,0,-0.007371,0.037398,0.132868,128.46733,110.646551,45.161205,55.093943,-9.932739,0.110149,0.134375,-0.024226,-149.332409,-0.364225,-133527.414542,0,0,0.00495,2,0.99505,402,1,6,0,0,0,0.381188,0.980488,0.985438,0.014562,0.019512,0.970875,0.980488,0.975658,0.381188,0.051,0.004,0.06,0,6708,729355,83983,?
transition,2,2,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20130408.1716,3686,410,404,6,0,98.536585,1.463415,0,0,0.037913,0.123035,130.236222,102.457681,45.161205,265.218749,-220.057544,0.110149,0.646875,-0.536726,-220.834752,-0.538621,-197462.116072,0,0,0,0,1,404,1,6,0,0,0,0.546205,0.985366,0.985366,0.014634,0.014634,0.970946,0.985366,0.978103,0.545188,0.049,0.005,0.06,0,6708,729355,83983,?
transition,2,3,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20130408.1716,3686,410,401,9,0,97.804878,2.195122,0,-0.009852,0.042653,0.142854,146.518961,118.96178,45.161205,61.496825,-16.33562,0.110149,0.149992,-0.039843,-174.016052,-0.424429,-155598.598416,0,0,0.007426,3,0.992574,401,1,6,0,0,0,0.222772,0.978049,0.985475,0.014525,0.021951,0.97084,0.978049,0.974431,0.222772,0.046,0.005,0.05,0.01,6708,729355,83983,?
transition,2,4,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20130408.1716,3686,410,402,8,0,98.04878,1.95122,0,-0.007371,0.057739,0.150184,198.342291,125.066188,45.161205,299.548042,-254.386838,0.110149,0.730605,-0.620456,-358.43526,-0.874232,-320499.306957,0,0,0.00495,2,0.99505,402,1,6,0,0,0,0.246287,0.980488,0.985438,0.014562,0.019512,0.970875,0.980488,0.975658,0.247303,0.049,0.005,0.05,0.01,6708,729355,83983,?
transition,2,5,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20130408.1716,3686,410,404,6,0,98.536585,1.463415,0,0,0.039276,0.132556,134.920271,110.386085,45.161205,60.750363,-15.589159,0.110149,0.148172,-0.038022,-168.227493,-0.410311,-150422.687179,0,0,0,0,1,404,1,6,0,0,0,0.303218,0.985366,0.985366,0.014634,0.014634,0.970946,0.985366,0.978103,0.303218,0.049,0.005,0.05,0.01,6708,729355,83983,?
transition,2,6,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20130408.1716,3686,410,404,6,0,98.536585,1.463415,0,0,0.038838,0.129334,133.413507,107.703079,45.161205,55.736852,-10.575648,0.110149,0.135944,-0.025794,-181.874529,-0.443596,-162625.352199,0,0,0,0,1,404,1,6,0,0,0,0.299917,0.985366,0.985366,0.014634,0.014634,0.970946,0.985366,0.978103,0.299917,0.049,0.005,0.05,0,6708,729355,83983,?
transition,2,7,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20130408.1716,3687,409,402,7,0,98.288509,1.711491,0,-0.004209,0.039028,0.129397,133.925202,107.626687,45.139488,56.797586,-11.658098,0.110365,0.138869,-0.028504,-191.934155,-0.469277,-171657.805472,0,0,0.002481,1,0.997519,402,1,6,0,0,0,0.314723,0.982885,0.985366,0.014634,0.017115,0.97084,0.982885,0.976825,0.314723,0.049,0.006,0.04,0.01,6708,729552,83786,?
transition,2,8,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20130408.1716,3687,409,402,7,0,98.288509,1.711491,0,-0.004209,0.044461,0.137014,152.567931,113.961861,45.139488,70.585368,-25.44588,0.110365,0.17258,-0.062215,-227.440242,-0.556089,-203412.950805,0,0,0.002481,1,0.997519,402,1,6,0,0,0,0.253929,0.982885,0.985366,0.014634,0.017115,0.97084,0.982885,0.976825,0.253929,0.048,0.007,0.04,0.01,6708,729552,83786,?
transition,2,9,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20130408.1716,3687,409,402,7,0,98.288509,1.711491,0,-0.004209,0.043997,0.131682,150.974699,109.52673,45.139488,79.89135,-34.751862,0.110365,0.195333,-0.084968,-248.366467,-0.607253,-222128.483183,0,0,0.002481,1,0.997519,402,1,6,0,0,0,0.391232,0.982885,0.985366,0.014634,0.017115,0.97084,0.982885,0.976825,0.391232,0.048,0.006,0.04,0.01,6708,729552,83786,?
transition,2,10,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20130408.1716,3687,409,403,6,0,98.533007,1.466993,0,0,0.036557,0.127662,125.445099,106.18287,45.139488,52.942258,-7.80277,0.110365,0.129443,-0.019078,-150.284343,-0.367443,-134407.971973,0,0,0,0,1,403,1,6,0,0,0,0.378825,0.98533,0.98533,0.01467,0.01467,0.970875,0.98533,0.978049,0.378825,0.049,0.007,0.04,0.01,6708,729552,83786,?
transition,3,1,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20130408.1716,3686,410,398,12,0,97.073171,2.926829,0,-0.014851,0.043188,0.143512,148.356958,119.510108,45.161205,60.403799,-15.242594,0.110149,0.147326,-0.037177,-175.636365,-0.428381,-157047.421262,0,0,0.014851,6,0.985149,398,1,6,0,0,0,0.42863,0.970732,0.985583,0.014417,0.029268,0.970732,0.970732,0.970732,0.42863,0.05,0.006,0.05,0,6708,729355,83983,?
transition,3,2,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20130408.1716,3686,410,403,7,0,98.292683,1.707317,0,-0.004199,0.03969,0.130883,136.341921,108.993426,45.161205,56.428518,-11.267313,0.110149,0.137631,-0.027481,-179.401431,-0.437564,-160414.001704,0,0,0.002475,1,0.997525,403,1,6,0,0,0,0.320132,0.982927,0.985402,0.014598,0.017073,0.970911,0.982927,0.976882,0.320132,0.051,0.007,0.05,0.01,6708,729355,83983,?
transition,3,3,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20130408.1716,3686,410,401,9,0,97.804878,2.195122,0,-0.009852,0.038168,0.135516,131.113882,112.851185,45.161205,59.385961,-14.224757,0.110149,0.144844,-0.034695,-152.011373,-0.370759,-135922.84338,0,0,0.007426,3,0.992574,401,1,6,0,0,0,0.240099,0.978049,0.985475,0.014525,0.021951,0.97084,0.978049,0.974431,0.240099,0.049,0.004,0.05,0.01,6708,729355,83983,?
transition,3,4,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20130408.1716,3686,410,403,7,0,98.292683,1.707317,0,-0.004199,0.0385,0.130204,132.254503,108.427667,45.161205,54.07064,-8.909436,0.110149,0.13188,-0.02173,-171.299649,-0.417804,-153169.693182,0,0,0.002475,1,0.997525,403,1,6,0,0,0,0.421617,0.982927,0.985402,0.014598,0.017073,0.970911,0.982927,0.976882,0.421617,0.048,0.005,0.05,0,6708,729355,83983,?
transition,3,5,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20130408.1716,3686,410,402,8,0,98.04878,1.95122,0,-0.007371,0.049067,0.14556,168.552447,121.215288,45.161205,71.645712,-26.484507,0.110149,0.174746,-0.064596,-242.279463,-0.590926,-216637.168854,0,0,0.00495,2,0.99505,402,1,6,0,0,0,0.219059,0.980488,0.985438,0.014562,0.019512,0.970875,0.980488,0.975658,0.219059,0.048,0.004,0.04,0.01,6708,729355,83983,?
transition,3,6,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20130408.1716,3686,410,402,8,0,98.04878,1.95122,0,-0.007371,0.06105,0.150223,209.715779,125.099045,45.161205,319.873195,-274.711991,0.110149,0.780179,-0.670029,-433.509209,-1.05734,-387627.604792,0,0,0.00495,2,0.99505,402,1,6,0,0,0,0.238861,0.980488,0.985438,0.014562,0.019512,0.970875,0.980488,0.975658,0.238861,0.049,0.004,0.04,0.01,6708,729355,83983,?
